,OBS_ID,BLOCK,Instrument,START_DATE,START_TIME,END_DATE,END_TIME,XCEN,YCEN,FOV,OBS_MODES,INTRUMENT_MODE,ROI,COMMENT
41,OB_12052022_021300,SUNPOT_2,SCIP,12/05/2022,03:24:54,12/05/2022,06:24:54,56.0,165.0,1.0,SP8,N4F,Sunspot penumbra,
42,OB_12052022_053000,CALIB_1,SCIP,12/05/2022,06:00:00,12/05/2022,06:30:00,,,-,CAL1,,Calibration,
43,OB_12052022_060500,SUNPOT_3,SCIP,12/05/2022,06:05:00,12/05/2022,07:05:00,241.0,343.0,1.0,SP7a,R3,Sunspot,
44,OB_12052022_060500,SUNPOT_3,SCIP,12/05/2022,06:05:00,12/05/2022,07:52:00,241.0,343.0,58.0,SP7b,N1D,Sunspot,
45,OB_12052022_085700,CALIB_1,SCIP,12/05/2022,09:27:00,12/05/2022,09:57:00,,,-,CAL1,,Calibration,
46,OB_12052022_093200,SUNPOT_4,SCIP,12/05/2022,09:32:00,12/05/2022,10:19:36,-33.0,-282.0,58.0,SP6,N1F,Sunspot,
47,OB_12052022_094800,CALIB_0,SCIP,12/05/2022,15:48:00,12/05/2022,21:48:00,,,-,CAL0,,Comissioning,
48,OB_12052022_155300,AR_4,SCIP,12/05/2022,15:53:00,12/05/2022,16:04:54,-234.0,297.0,58.0,AR6a,N1F,plage,
49,OB_12052022_155300,AR_4,SCIP,12/05/2022,15:53:00,12/05/2022,16:53:00,-234.0,297.0,1.0,AR6b,R3,plage,
50,OB_12052022_155300,AR_4,SCIP,12/05/2022,15:53:00,12/05/2022,16:04:54,-234.0,297.0,58.0,AR6c,N1F,plage,
51,OB_12052022_172200,CALIB_1,SCIP,12/05/2022,17:52:00,12/05/2022,18:22:00,,,-,CAL1,,Calibration,
52,OB_12052022_175700,AR_5,SCIP,12/05/2022,18:34:00,12/05/2022,19:11:00,-488.0,-264.0,20.0,AR7,N2D,QS AR Filament,
53,OB_12052022_183900,CALIB_1,SCIP,12/05/2022,19:09:00,12/05/2022,19:39:00,,,-,CAL1,,Calibration,
54,OB_12052022_191400,POLE_1,SCIP,12/05/2022,20:09:00,12/05/2022,21:04:00,-474.0,352.0,30.0,PL1,N1.5D,Poles,
55,OB_12052022_191400,POLE_1,SCIP,12/05/2022,21:09:00,12/05/2022,22:09:00,-474.0,352.0,1.0,PL4,N4F,Poles,
56,OB_12052022_191400,POLE_1,SCIP,12/05/2022,22:09:00,12/05/2022,23:09:00,-474.0,352.0,0.09,PL5,N6,Poles,
57,OB_12052022_221400,CALIB_1,SCIP,12/05/2022,22:44:00,12/05/2022,23:14:00,,,-,CAL1,,Calibration,
58,OB_12052022_224900,POLE_2,SCIP,12/05/2022,23:23:00,13/05/2022,00:23:00,-569.0,-199.0,58.0,PL2,R1,Poles,
59,OB_12052022_224900,POLE_2,SCIP,12/05/2022,23:57:00,13/05/2022,00:09:00,-569.0,-199.0,58.0,PL3,N1F,Poles,
60,OB_13052022_000600,CALIB_1,SCIP,13/05/2022,00:36:00,13/05/2022,01:06:00,,,-,CAL1,,Calibration,
61,OB_13052022_004100,EWL_1,SCIP,13/05/2022,01:15:00,13/05/2022,02:15:00,-377.0,98.0,0.09,EW1,N4D,East-West limbs,
62,OB_13052022_004100,EWL_1,SCIP,13/05/2022,01:31:42,13/05/2022,01:31:42,-377.0,98.0,-,EW2,,East-West limbs,
63,OB_13052022_004100,EWL_1,SCIP,13/05/2022,02:31:42,13/05/2022,03:31:42,-377.0,98.0,0.09,EW3,N6,East-West limbs,
64,OB_13052022_024600,CALIB_1,SCIP,13/05/2022,03:16:00,13/05/2022,03:46:00,,,-,CAL1,,Calibration,
65,OB_13052022_032100,CH_1,SCIP,13/05/2022,03:51:00,13/05/2022,04:21:00,-564.0,-384.0,0.09,CH1,N6,Coronal hole,
66,OB_13052022_032100,CH_1,SCIP,13/05/2022,04:46:00,13/05/2022,05:41:00,-564.0,-384.0,30.0,CH2,N1.5D,Coronal hole,
67,OB_13052022_032100,CH_1,SCIP,13/05/2022,05:41:00,13/05/2022,06:36:00,-564.0,-384.0,30.0,CH3,N1.5D,Coronal hole,
68,OB_13052022_054600,CALIB_0,SCIP,13/05/2022,11:46:00,13/05/2022,17:46:00,,,-,CAL0,,Comissioning,
69,OB_13052022_115100,FLARE_1,SCIP,13/05/2022,23:51:00,14/05/2022,11:51:00,128.0,577.0,58.0,Flare1,N1F,Flare,
70,OB_13052022_235600,CALIB_1,SCIP,14/05/2022,00:26:00,14/05/2022,00:56:00,,,-,CAL1,,Calibration,
71,OB_14052022_003100,QSDC_1,SCIP,14/05/2022,01:01:00,14/05/2022,01:31:00,221.0,-239.0,0.09,QS1,N6,Quiet Sun,
72,OB_14052022_003100,QSDC_1,SCIP,14/05/2022,02:48:00,14/05/2022,04:35:00,221.0,-239.0,58.0,QS2,N1D,Quiet Sun,
73,OB_14052022_003100,QSDC_1,SCIP,14/05/2022,03:48:00,14/05/2022,05:48:00,221.0,-239.0,1.0,QS4a,N4F,Quiet Sun,
74,OB_14052022_003100,QSDC_1,SCIP,14/05/2022,04:48:00,14/05/2022,06:48:00,221.0,-239.0,1.0,QS4b,N4F,Quiet Sun,
75,OB_14052022_003100,QSDC_1,SCIP,14/05/2022,06:35:00,14/05/2022,08:22:00,221.0,-239.0,58.0,QS8,N1D,Quiet Sun,
76,OB_14052022_064000,CALIB_1,SCIP,14/05/2022,07:10:00,14/05/2022,07:40:00,,,-,CAL1,,Calibration,
77,OB_14052022_071500,QSDC_2,SCIP,14/05/2022,08:15:00,14/05/2022,09:15:00,-532.0,519.0,58.0,QS6,R1,Quiet Sun,
78,OB_14052022_071500,QSDC_2,SCIP,14/05/2022,10:02:00,14/05/2022,11:49:00,-532.0,519.0,58.0,QS3,N1D,Quiet Sun,
79,OB_14052022_071500,QSDC_2,SCIP,14/05/2022,12:02:00,14/05/2022,14:02:00,-532.0,519.0,5.0,QS5a,N3F,Quiet Sun,
80,OB_14052022_120700,CALIB_1,SCIP,14/05/2022,12:37:00,14/05/2022,13:07:00,,,-,CAL1,,Calibration,
81,OB_14052022_124200,QSDC_3,SCIP,14/05/2022,12:42:00,14/05/2022,13:42:00,-289.0,261.0,0.09,QS5b,N6,Quiet Sun,
82,OB_14052022_124200,QSDC_3,SCIP,14/05/2022,13:42:00,14/05/2022,13:53:54,-289.0,261.0,58.0,QS7c,N1F,Quiet Sun,
